,complements,substitutes,frequency_dict,context_dict
1956,"['science', 'unity', 'culture', 'organization', 'universal', 'humanity', 'realm', 'discipline', 'economy', 'criticism', 'perfection', 'universe', 'identity', 'perception', 'decay', 'philosophy']","['philosophy', 'decay', 'perception', 'identity', 'universe', 'perfection', 'criticism', 'economy', 'discipline', 'realm', 'humanity', 'universal', 'organization', 'culture', 'unity', 'science']","{'humanity': (0.7663508653640747, 125), 'perfection': (0.756490170955658, 114), 'perception': (0.7561806440353394, 101), 'economy': (0.7519931197166443, 227), 'discipline': (0.7477239370346069, 106), 'culture': (0.7425654530525208, 182), 'organization': (0.732625424861908, 190), 'identity': (0.7260340452194214, 113), 'realm': (0.7239878177642822, 140), 'universal': (0.7228184938430786, 192), 'unity': (0.7207810878753662, 263), 'decay': (0.7205590009689331, 110), 'philosophy': (0.7202808856964111, 281), 'science': (0.7199200391769409, 427), 'universe': (0.7184881567955017, 237), 'criticism': (0.7176389098167419, 150)}","{'humanity': 0.017, 'perfection': -0.079, 'perception': -0.105, 'economy': -0.04, 'discipline': -0.027, 'culture': 0.055, 'organization': 0.037, 'identity': -0.096, 'realm': 0.006, 'universal': 0.02, 'unity': 0.201, 'decay': -0.114, 'philosophy': -0.336, 'science': 0.203, 'universe': -0.081, 'criticism': -0.065}"
1900,[],[],{},{}
1948,"['organisation', 'factory', 'culture', 'organization']","['organization', 'culture', 'factory', 'organisation']","{'factory': (0.7396199703216553, 106), 'organization': (0.7233936786651611, 144), 'organisation': (0.7113726139068604, 120), 'culture': (0.7092206478118896, 198)}","{'factory': 0.019, 'organization': -0.094, 'organisation': 0.051, 'culture': 0.01}"
2004,"['psychological', 'medicine', 'constitution', 'symbol', 'intelligence', 'justice', 'leadership', 'discourse', 'spiritual', 'universal', 'religion', 'arts', 'philosophy', 'science', 'perception', 'consciousness', 'autonomy', 'dynamics', 'politics', 'culture', 'discipline', 'realm', 'origins', 'unity', 'democratic', 'agency']","['agency', 'democratic', 'unity', 'origins', 'realm', 'discipline', 'culture', 'politics', 'dynamics', 'autonomy', 'consciousness', 'perception', 'science', 'philosophy', 'arts', 'religion', 'universal', 'spiritual', 'discourse', 'leadership', 'justice', 'intelligence', 'symbol', 'constitution', 'medicine', 'psychological']","{'medicine': (0.7493979930877686, 113), 'discipline': (0.746178388595581, 126), 'philosophy': (0.712984561920166, 310), 'spiritual': (0.7111334800720215, 183), 'politics': (0.7108310461044312, 487), 'culture': (0.7107713222503662, 694), 'realm': (0.7075099945068359, 184), 'agency': (0.7066527605056763, 105), 'unity': (0.7052828073501587, 223), 'universal': (0.7038081884384155, 212), 'democratic': (0.7023327350616455, 139), 'intelligence': (0.7001486420631409, 105), 'arts': (0.6914774775505066, 142), 'discourse': (0.6914037466049194, 162), 'constitution': (0.6903672218322754, 186), 'consciousness': (0.6891618967056274, 265), 'autonomy': (0.6887493133544922, 115), 'symbol': (0.6836482286453247, 111), 'justice': (0.681862473487854, 441), 'leadership': (0.6785652041435242, 159), 'dynamics': (0.6779457926750183, 100), 'perception': (0.6771135330200195, 186), 'psychological': (0.6770676374435425, 123), 'science': (0.6748751401901245, 548), 'religion': (0.6746611595153809, 497), 'origins': (0.67133629322052, 126)}","{'medicine': 0.889, 'discipline': -0.151, 'philosophy': 0.107, 'spiritual': 0.146, 'politics': -0.069, 'culture': -0.104, 'realm': -0.217, 'agency': -0.8, 'unity': -0.635, 'universal': 0.136, 'democratic': -0.706, 'intelligence': 0.7, 'arts': 0.112, 'discourse': 0.172, 'constitution': 0.862, 'consciousness': 0.044, 'autonomy': -0.034, 'symbol': 0.836, 'justice': 0.664, 'leadership': 0.279, 'dynamics': -0.049, 'perception': 0.054, 'psychological': 0.926, 'science': 0.086, 'religion': 0.133, 'origins': -0.366}"
1978,"['personality', 'climate', 'proletariat', 'leadership', 'transformation', 'bourgeoisie', 'bourgeois', 'spiritual', 'discipline', 'educational', 'perception', 'stability', 'institutions', 'welfare', 'science', 'democratic', 'psychology', 'organisation', 'markets', 'organization', 'realm', 'productive', 'intervention', 'politics', 'reform', 'intellectual', 'capitalism', 'economy', 'cultural', 'medicine', 'revolutionary', 'arts', 'technology', 'security', 'sphere', 'culture', 'unity', 'consciousness', 'socialist']","['socialist', 'consciousness', 'unity', 'culture', 'sphere', 'security', 'technology', 'arts', 'revolutionary', 'medicine', 'cultural', 'economy', 'capitalism', 'intellectual', 'reform', 'politics', 'intervention', 'productive', 'realm', 'organization', 'markets', 'organisation', 'psychology', 'democratic', 'welfare', 'science', 'institutions', 'stability', 'perception', 'educational', 'discipline', 'spiritual', 'bourgeois', 'bourgeoisie', 'transformation', 'leadership', 'proletariat', 'climate', 'personality']","{'capitalism': (0.7792114615440369, 112), 'politics': (0.7405070066452026, 331), 'psychology': (0.7331994771957397, 102), 'revolutionary': (0.7194858193397522, 164), 'organisation': (0.717913806438446, 172), 'democratic': (0.7175784707069397, 144), 'educational': (0.7159574031829834, 184), 'climate': (0.7143738269805908, 130), 'transformation': (0.7107169032096863, 138), 'medicine': (0.709793210029602, 103), 'welfare': (0.7089936137199402, 208), 'bourgeois': (0.7056031227111816, 101), 'markets': (0.7044358253479004, 134), 'sphere': (0.7041103839874268, 207), 'perception': (0.7032272815704346, 101), 'bourgeoisie': (0.7029684782028198, 135), 'science': (0.697733998298645, 541), 'institutions': (0.6967087388038635, 231), 'organization': (0.6961427330970764, 400), 'security': (0.695568323135376, 305), 'reform': (0.694732666015625, 152), 'spiritual': (0.692487359046936, 133), 'socialist': (0.6914560794830322, 139), 'consciousness': (0.6904171705245972, 235), 'leadership': (0.6889106631278992, 156), 'stability': (0.6852726340293884, 136), 'unity': (0.6847982406616211, 245), 'technology': (0.6834818124771118, 176), 'realm': (0.6831532120704651, 146), 'arts': (0.6819810271263123, 161), 'intervention': (0.6814961433410645, 133), 'productive': (0.6788415908813477, 118), 'intellectual': (0.6786754131317139, 168), 'cultural': (0.6779947876930237, 259), 'proletariat': (0.6760467290878296, 146), 'discipline': (0.6756830215454102, 124), 'personality': (0.6749330759048462, 159), 'economy': (0.6735796332359314, 584), 'culture': (0.6724004745483398, 395)}","{'capitalism': -0.111, 'politics': -0.102, 'psychology': 0.026, 'revolutionary': -0.152, 'organisation': 0.025, 'democratic': 0.06, 'educational': 0.107, 'climate': 0.447, 'transformation': 0.248, 'medicine': -0.131, 'welfare': 0.066, 'bourgeois': 0.21, 'markets': 0.007, 'sphere': -0.222, 'perception': 0.101, 'bourgeoisie': 0.226, 'science': 0.066, 'institutions': 0.082, 'organization': -0.018, 'security': -0.201, 'reform': -0.106, 'spiritual': 0.183, 'socialist': -0.554, 'consciousness': -0.427, 'leadership': 0.326, 'stability': 0.091, 'unity': -0.289, 'technology': -0.17, 'realm': -0.024, 'arts': -0.156, 'intervention': -0.08, 'productive': -0.03, 'intellectual': -0.108, 'cultural': -0.13, 'proletariat': 0.365, 'discipline': 0.179, 'personality': 0.521, 'economy': -0.117, 'culture': -0.287}"
1999,"['security', 'psychology', 'discipline', 'economics', 'spiritual', 'reform', 'organism', 'transformation', 'integration', 'democratic', 'doctrine', 'constitution', 'independence', 'religion', 'domain', 'cognitive', 'fiction', 'agency', 'realm', 'medicine', 'science', 'classical', 'capitalism', 'regulation', 'unity', 'discourse', 'equality', 'humanity', 'logic', 'politics', 'stability', 'enterprise', 'regime', 'mathematics', 'organisation', 'universal', 'essence']","['essence', 'universal', 'organisation', 'mathematics', 'regime', 'enterprise', 'stability', 'politics', 'logic', 'humanity', 'equality', 'discourse', 'unity', 'regulation', 'capitalism', 'classical', 'science', 'medicine', 'realm', 'agency', 'fiction', 'cognitive', 'domain', 'religion', 'independence', 'constitution', 'doctrine', 'democratic', 'integration', 'transformation', 'organism', 'reform', 'spiritual', 'economics', 'discipline', 'psychology', 'security']","{'capitalism': (0.7829748392105103, 100), 'economics': (0.7523151636123657, 101), 'reform': (0.7520447373390198, 208), 'regulation': (0.7461540699005127, 155), 'transformation': (0.7352211475372314, 141), 'realm': (0.7304645776748657, 168), 'psychology': (0.7294577360153198, 108), 'discourse': (0.7287417650222778, 155), 'politics': (0.7261333465576172, 470), 'doctrine': (0.7259273529052734, 226), 'fiction': (0.722572922706604, 104), 'universal': (0.7198288440704346, 218), 'organisation': (0.7185059785842896, 173), 'discipline': (0.7104227542877197, 130), 'constitution': (0.7088181972503662, 202), 'mathematics': (0.7086951732635498, 118), 'humanity': (0.706312894821167, 112), 'democratic': (0.7024021148681641, 150), 'science': (0.6990137100219727, 561), 'organism': (0.6970512866973877, 118), 'cognitive': (0.6959792375564575, 111), 'logic': (0.6950851678848267, 158), 'spiritual': (0.6939451098442078, 183), 'religion': (0.688355565071106, 465), 'integration': (0.6868331432342529, 152), 'agency': (0.6833466291427612, 102), 'stability': (0.6789959669113159, 141), 'independence': (0.678016185760498, 242), 'security': (0.677510142326355, 389), 'medicine': (0.6767374277114868, 113), 'unity': (0.6765601634979248, 214), 'domain': (0.6758857369422913, 143), 'equality': (0.6756839156150818, 162), 'enterprise': (0.6756060123443604, 104), 'regime': (0.675365149974823, 147), 'essence': (0.6732758283615112, 181), 'classical': (0.6731399297714233, 144)}","{'capitalism': -0.015, 'economics': 0.223, 'reform': 0.155, 'regulation': -0.022, 'transformation': 0.128, 'realm': 0.001, 'psychology': 0.249, 'discourse': -0.027, 'politics': -0.162, 'doctrine': 0.072, 'fiction': 0.01, 'universal': -0.237, 'organisation': -0.225, 'discipline': 0.23, 'constitution': 0.066, 'mathematics': -0.22, 'humanity': -0.137, 'democratic': 0.093, 'science': -0.007, 'organism': 0.149, 'cognitive': 0.026, 'logic': -0.148, 'spiritual': 0.169, 'religion': 0.063, 'integration': 0.115, 'agency': 0.002, 'stability': -0.164, 'independence': 0.064, 'security': 0.309, 'medicine': -0.002, 'unity': -0.026, 'domain': 0.049, 'equality': -0.03, 'enterprise': -0.177, 'regime': -0.205, 'essence': -0.283, 'classical': -0.009}"
1998,"['commitment', 'morality', 'security', 'democratic', 'ownership', 'economy', 'transformation', 'agency', 'organisation', 'cognitive', 'monetary', 'promotion', 'institutions', 'evolution', 'masses', 'movements', 'promote', 'universe', 'structures', 'realm', 'sphere', 'agriculture', 'perception', 'personality', 'regional', 'stability', 'organizations', 'measurement', 'discipline', 'capitalist', 'discourse', 'universal', 'reality', 'economics', 'enterprise', 'intervention', 'unity', 'reform', 'regulation', 'organization']","['organization', 'regulation', 'reform', 'unity', 'intervention', 'enterprise', 'economics', 'reality', 'universal', 'discourse', 'capitalist', 'discipline', 'measurement', 'organizations', 'stability', 'regional', 'personality', 'perception', 'agriculture', 'sphere', 'realm', 'structures', 'universe', 'promote', 'masses', 'movements', 'evolution', 'institutions', 'monetary', 'promotion', 'cognitive', 'organisation', 'agency', 'transformation', 'economy', 'ownership', 'democratic', 'morality', 'security', 'commitment']","{'discipline': (0.7343857288360596, 143), 'morality': (0.7302852869033813, 112), 'democratic': (0.7207271456718445, 112), 'organisation': (0.7152575254440308, 203), 'monetary': (0.7077816128730774, 106), 'economics': (0.70549076795578, 111), 'agency': (0.6988397836685181, 102), 'intervention': (0.6985841393470764, 145), 'commitment': (0.6973517537117004, 139), 'organization': (0.6961581707000732, 455), 'realm': (0.686363935470581, 174), 'personality': (0.6861805319786072, 118), 'enterprise': (0.6828420162200928, 121), 'capitalist': (0.67802894115448, 119), 'transformation': (0.6765103340148926, 156), 'perception': (0.6756865382194519, 161), 'organizations': (0.675684928894043, 136), 'discourse': (0.6751499772071838, 158), 'security': (0.6743177175521851, 332), 'agriculture': (0.6736109256744385, 127), 'reform': (0.6735454797744751, 199), 'reality': (0.6734021902084351, 486), 'universal': (0.6732622385025024, 211), 'promote': (0.6726934313774109, 163), 'unity': (0.6725172996520996, 220), 'institutions': (0.6717730164527893, 330), 'regional': (0.6701736450195312, 181), 'universe': (0.669994592666626, 224), 'economy': (0.6698369979858398, 696), 'masses': (0.6696310043334961, 108), 'ownership': (0.6694018840789795, 120), 'regulation': (0.6690301895141602, 117), 'promotion': (0.6689045429229736, 109), 'stability': (0.6685508489608765, 178), 'movements': (0.6679744720458984, 178), 'cognitive': (0.6659932732582092, 106), 'measurement': (0.6652853488922119, 109), 'structures': (0.6650694608688354, 149), 'sphere': (0.6650479435920715, 242), 'evolution': (0.6650018692016602, 240)}","{'discipline': -0.014, 'morality': 0.127, 'democratic': 0.108, 'organisation': 0.081, 'monetary': 0.069, 'economics': -0.066, 'agency': 0.089, 'intervention': -0.099, 'commitment': 0.243, 'organization': -0.28, 'realm': 0.026, 'personality': 0.013, 'enterprise': -0.083, 'capitalist': -0.018, 'transformation': 0.092, 'perception': 0.021, 'organizations': -0.011, 'discourse': -0.019, 'security': 0.127, 'agriculture': 0.024, 'reform': -0.166, 'reality': -0.046, 'universal': -0.024, 'promote': 0.043, 'unity': -0.153, 'institutions': 0.066, 'regional': -0.007, 'universe': 0.038, 'economy': 0.1, 'masses': 0.053, 'ownership': 0.104, 'regulation': -0.245, 'promotion': 0.069, 'stability': -0.008, 'movements': 0.053, 'cognitive': 0.076, 'measurement': -0.012, 'structures': 0.036, 'sphere': 0.025, 'evolution': 0.064}"
1934,"['civilization', 'reform', 'organ', 'institution', 'ideal', 'politics', 'realm', 'culture', 'drama', 'evolution', 'Christianity', 'unity', 'environment', 'organization']","['organization', 'environment', 'unity', 'Christianity', 'evolution', 'drama', 'culture', 'realm', 'politics', 'ideal', 'institution', 'organ', 'reform', 'civilization']","{'civilization': (0.7841359376907349, 103), 'organization': (0.7630555629730225, 158), 'evolution': (0.7604236602783203, 172), 'drama': (0.7550193667411804, 111), 'politics': (0.7480573654174805, 199), 'culture': (0.746263861656189, 152), 'reform': (0.7411465644836426, 141), 'environment': (0.7408426403999329, 106), 'unity': (0.734721302986145, 277), 'realm': (0.7320370674133301, 182), 'organ': (0.730818510055542, 108), 'Christianity': (0.7308041453361511, 166), 'ideal': (0.7270265221595764, 173), 'institution': (0.7253699898719788, 107)}","{'civilization': 0.804, 'organization': -0.782, 'evolution': -0.012, 'drama': 0.002, 'politics': 0.121, 'culture': 0.007, 'reform': 0.708, 'environment': -0.583, 'unity': -0.353, 'realm': 0.047, 'organ': 0.545, 'Christianity': -0.111, 'ideal': 0.217, 'institution': 0.443}"
1997,"['contemporary', 'harmony', 'reality', 'transformation', 'reform', 'capitalism', 'society', 'universal', 'survival', 'evolution', 'institution', 'intellectual', 'organisation', 'radical', 'organization', 'origins', 'identity', 'humanity', 'realm', 'discipline', 'psychology', 'economics', 'legislation', 'politics', 'mankind', 'unity', 'personality', 'landscape', 'revolution', 'religion', 'democratic', 'global', 'universe']","['universe', 'global', 'democratic', 'religion', 'revolution', 'landscape', 'personality', 'unity', 'mankind', 'politics', 'legislation', 'economics', 'psychology', 'discipline', 'realm', 'humanity', 'identity', 'origins', 'organization', 'radical', 'organisation', 'intellectual', 'institution', 'evolution', 'survival', 'universal', 'society', 'capitalism', 'reform', 'reality', 'transformation', 'harmony', 'contemporary']","{'capitalism': (0.7472550868988037, 107), 'economics': (0.7424724102020264, 111), 'humanity': (0.7340452671051025, 111), 'democratic': (0.7333671450614929, 157), 'politics': (0.7294405102729797, 416), 'organization': (0.72478848695755, 465), 'landscape': (0.7194904088973999, 104), 'reality': (0.7179464101791382, 480), 'mankind': (0.7126795053482056, 136), 'unity': (0.7124122381210327, 224), 'universal': (0.7113910913467407, 192), 'institution': (0.7107625007629395, 152), 'contemporary': (0.7064763307571411, 188), 'identity': (0.7060378193855286, 406), 'realm': (0.7049806118011475, 174), 'reform': (0.7028001546859741, 213), 'intellectual': (0.7019997239112854, 184), 'society': (0.6990697383880615, 1344), 'religion': (0.6989675760269165, 431), 'discipline': (0.6936109066009521, 151), 'personality': (0.6928287148475647, 138), 'origins': (0.6918820142745972, 143), 'organisation': (0.6904487609863281, 186), 'survival': (0.6895275712013245, 156), 'transformation': (0.6859692335128784, 163), 'legislation': (0.6838178634643555, 148), 'global': (0.6834018230438232, 244), 'revolution': (0.6823498010635376, 262), 'evolution': (0.6787217259407043, 260), 'universe': (0.6775888204574585, 201), 'radical': (0.676738977432251, 141), 'psychology': (0.6766046285629272, 122), 'harmony': (0.6750514507293701, 104)}","{'capitalism': 0.173, 'economics': -0.108, 'humanity': -0.057, 'democratic': -0.368, 'politics': -0.22, 'organization': 0.052, 'landscape': -0.284, 'reality': 0.293, 'mankind': -0.229, 'unity': -0.265, 'universal': 0.145, 'institution': 0.08, 'contemporary': 0.591, 'identity': -0.011, 'realm': -0.058, 'reform': 0.257, 'intellectual': 0.073, 'society': 0.163, 'religion': -0.337, 'discipline': -0.086, 'personality': -0.28, 'origins': 0.009, 'organisation': 0.066, 'survival': 0.117, 'transformation': 0.293, 'legislation': -0.161, 'global': -0.749, 'revolution': -0.287, 'evolution': 0.106, 'universe': -0.845, 'radical': 0.055, 'psychology': -0.092, 'harmony': 0.304}"
2001,"['institution', 'realm', 'discourse', 'democratic', 'equality', 'transformation', 'intellectual', 'narrative', 'classical', 'capitalism', 'enterprise', 'regulation', 'logic', 'landscape', 'politics', 'dynamic']","['dynamic', 'politics', 'landscape', 'logic', 'regulation', 'enterprise', 'capitalism', 'classical', 'narrative', 'intellectual', 'transformation', 'equality', 'democratic', 'discourse', 'realm', 'institution']","{'landscape': (0.745925784111023, 114), 'transformation': (0.7425000667572021, 169), 'discourse': (0.7271373271942139, 161), 'capitalism': (0.7220942974090576, 102), 'institution': (0.7147760391235352, 166), 'politics': (0.7145689725875854, 465), 'dynamic': (0.7130993008613586, 102), 'realm': (0.710769772529602, 169), 'equality': (0.7103533744812012, 152), 'democratic': (0.7099192142486572, 155), 'regulation': (0.701137363910675, 130), 'enterprise': (0.6976320743560791, 138), 'classical': (0.6967099905014038, 163), 'logic': (0.6952157616615295, 171), 'intellectual': (0.6939398050308228, 195), 'narrative': (0.6922625303268433, 170)}","{'landscape': -0.888, 'transformation': 0.21, 'discourse': 0.677, 'capitalism': -0.674, 'institution': 0.841, 'politics': -0.89, 'dynamic': -0.947, 'realm': 0.749, 'equality': 0.635, 'democratic': 0.66, 'regulation': -0.846, 'enterprise': -0.737, 'classical': -0.476, 'logic': -0.855, 'intellectual': -0.122, 'narrative': -0.347}"
1991,"['global', 'politics', 'organization', 'organisation', 'dimension', 'transformation', 'practices', 'enterprise', 'organizations', 'discipline', 'reform', 'monetary', 'regime', 'university', 'sphere', 'regulation', 'unity', 'legislation', 'capitalism', 'logic', 'defence', 'autonomy', 'institution', 'economics', 'finance', 'stability', 'democratic', 'intervention', 'equality', 'discourse']","['discourse', 'equality', 'intervention', 'democratic', 'stability', 'finance', 'economics', 'institution', 'autonomy', 'defence', 'logic', 'capitalism', 'legislation', 'unity', 'regulation', 'sphere', 'university', 'monetary', 'regime', 'reform', 'discipline', 'organizations', 'enterprise', 'practices', 'transformation', 'dimension', 'organisation', 'organization', 'politics', 'global']","{'discipline': (0.776153564453125, 117), 'democratic': (0.7519306540489197, 111), 'organisation': (0.7450806498527527, 169), 'stability': (0.7408092021942139, 172), 'organizations': (0.738007664680481, 117), 'capitalism': (0.7365667223930359, 118), 'economics': (0.7315286993980408, 108), 'regulation': (0.7274283170700073, 115), 'discourse': (0.7229388952255249, 118), 'reform': (0.7177674770355225, 168), 'unity': (0.7107269763946533, 266), 'organization': (0.7094787359237671, 404), 'autonomy': (0.7060307264328003, 103), 'institution': (0.7053186893463135, 145), 'monetary': (0.7027566432952881, 113), 'politics': (0.6976488828659058, 386), 'regime': (0.6952442526817322, 162), 'dimension': (0.6905374526977539, 109), 'university': (0.688381552696228, 113), 'practices': (0.6883593201637268, 125), 'finance': (0.6878094673156738, 107), 'transformation': (0.6875414848327637, 150), 'global': (0.687467634677887, 110), 'equality': (0.6867141723632812, 137), 'enterprise': (0.6840115785598755, 134), 'defence': (0.6825217008590698, 259), 'legislation': (0.6791279911994934, 126), 'logic': (0.6778497695922852, 158), 'intervention': (0.6776885986328125, 131), 'sphere': (0.6760421991348267, 236)}","{'discipline': 0.118, 'democratic': -0.63, 'organisation': 0.826, 'stability': -0.618, 'organizations': 0.16, 'capitalism': -0.027, 'economics': -0.214, 'regulation': -0.006, 'discourse': -0.897, 'reform': 0.062, 'unity': -0.011, 'organization': 0.874, 'autonomy': -0.19, 'institution': -0.191, 'monetary': 0.038, 'politics': 0.883, 'regime': 0.038, 'dimension': 0.604, 'university': 0.011, 'practices': 0.466, 'finance': -0.235, 'transformation': 0.596, 'global': 0.961, 'equality': -0.895, 'enterprise': 0.242, 'defence': -0.175, 'legislation': -0.02, 'logic': -0.077, 'intervention': -0.687, 'sphere': -0.002}"
1903,[],[],{},{}
1962,"['culture', 'medicine', 'organization', 'humanity', 'programme', 'traditional', 'prosperity']","['prosperity', 'traditional', 'programme', 'humanity', 'organization', 'medicine', 'culture']","{'culture': (0.7572611570358276, 238), 'traditional': (0.7538617253303528, 145), 'programme': (0.7522196769714355, 118), 'humanity': (0.7505115270614624, 125), 'organization': (0.7452186346054077, 194), 'prosperity': (0.7445468902587891, 131), 'medicine': (0.7410271167755127, 117)}","{'culture': 0.797, 'traditional': -0.784, 'programme': -0.381, 'humanity': 0.168, 'organization': 0.306, 'prosperity': -0.804, 'medicine': 0.374}"
1970,"['organisation', 'reality', 'humanity', 'organization', 'reform', 'recognition', 'worker', 'stability', 'security', 'proletariat', 'discipline', 'intellectual', 'institution', 'criticism', 'democratic', 'organism']","['organism', 'democratic', 'criticism', 'institution', 'intellectual', 'discipline', 'proletariat', 'security', 'stability', 'worker', 'recognition', 'reform', 'organization', 'humanity', 'reality', 'organisation']","{'organisation': (0.7805554866790771, 114), 'institution': (0.7532650232315063, 148), 'organization': (0.7491961717605591, 367), 'proletariat': (0.7473340630531311, 105), 'security': (0.7422384023666382, 247), 'organism': (0.7414897680282593, 104), 'criticism': (0.7408298850059509, 152), 'reform': (0.7397713661193848, 132), 'discipline': (0.7390267252922058, 137), 'worker': (0.7361612915992737, 103), 'reality': (0.732992947101593, 397), 'intellectual': (0.7326897382736206, 136), 'stability': (0.7325252890586853, 133), 'humanity': (0.7283492088317871, 114), 'recognition': (0.7232147455215454, 187), 'democratic': (0.7227386236190796, 100)}","{'organisation': 0.722, 'institution': -0.576, 'organization': 0.468, 'proletariat': -0.083, 'security': -0.057, 'organism': -0.687, 'criticism': -0.608, 'reform': 0.149, 'discipline': -0.178, 'worker': 0.046, 'reality': 0.716, 'intellectual': -0.412, 'stability': -0.004, 'humanity': 0.573, 'recognition': 0.145, 'democratic': -0.653}"
1921,"['organization', 'training', 'representation', 'universe', 'institution', 'reform', 'science', 'humanity', 'ideal', 'proposition', 'unity', 'design', 'reality', 'primitive', 'creation', 'organism', 'primary', 'religion', 'realm']","['realm', 'religion', 'primary', 'organism', 'creation', 'primitive', 'reality', 'design', 'unity', 'proposition', 'ideal', 'humanity', 'science', 'reform', 'institution', 'universe', 'representation', 'training', 'organization']","{'ideal': (0.7508612871170044, 183), 'creation': (0.7446046471595764, 214), 'institution': (0.7384089827537537, 134), 'organization': (0.7234825491905212, 136), 'primary': (0.7202607989311218, 151), 'organism': (0.7178197503089905, 122), 'realm': (0.7158507108688354, 137), 'proposition': (0.7112476825714111, 108), 'representation': (0.7105101346969604, 134), 'reform': (0.7101753950119019, 105), 'primitive': (0.7080546617507935, 120), 'universe': (0.7079865336418152, 258), 'religion': (0.7043629288673401, 529), 'unity': (0.7037172913551331, 212), 'science': (0.7025934457778931, 471), 'reality': (0.697094738483429, 301), 'humanity': (0.6963272094726562, 161), 'design': (0.6942801475524902, 226), 'training': (0.6928684115409851, 121)}","{'ideal': -0.01, 'creation': -0.46, 'institution': 0.103, 'organization': 0.558, 'primary': -0.502, 'organism': -0.472, 'realm': -0.621, 'proposition': -0.03, 'representation': 0.352, 'reform': 0.096, 'primitive': -0.453, 'universe': 0.192, 'religion': -0.603, 'unity': -0.032, 'science': 0.053, 'reality': -0.297, 'humanity': 0.03, 'design': -0.057, 'training': 0.471}"
1917,"['organization', 'organisation', 'Christianity', 'prosperity', 'economy', 'humanity', 'institution', 'ignorance', 'discipline', 'reform', 'evolution']","['evolution', 'reform', 'discipline', 'ignorance', 'institution', 'humanity', 'economy', 'prosperity', 'Christianity', 'organisation', 'organization']","{'organization': (0.8301393389701843, 102), 'organisation': (0.8022928833961487, 115), 'reform': (0.7951536178588867, 104), 'economy': (0.7903310060501099, 108), 'prosperity': (0.7814712524414062, 137), 'Christianity': (0.7652843594551086, 214), 'institution': (0.7628276348114014, 114), 'humanity': (0.7601940631866455, 207), 'evolution': (0.7502760291099548, 192), 'ignorance': (0.7489485740661621, 122), 'discipline': (0.7441836595535278, 151)}","{'organization': 0.423, 'organisation': 0.331, 'reform': -0.223, 'economy': 0.1, 'prosperity': 0.275, 'Christianity': 0.276, 'institution': 0.078, 'humanity': 0.097, 'evolution': -0.366, 'ignorance': -0.013, 'discipline': -0.181}"
1923,['organization'],['organization'],"{'organization': (0.8061437606811523, 116)}",{'organization': 0.082}
1949,"['reform', 'organization', 'management', 'institutions', 'morality', 'civilization', 'technical']","['technical', 'civilization', 'morality', 'institutions', 'management', 'organization', 'reform']","{'morality': (0.8100019097328186, 101), 'institutions': (0.7867380976676941, 122), 'organization': (0.7820169925689697, 141), 'reform': (0.7737719416618347, 147), 'management': (0.7736207246780396, 158), 'technical': (0.7645947933197021, 131), 'civilization': (0.7606092691421509, 100)}","{'morality': -0.229, 'institutions': -0.116, 'organization': 0.037, 'reform': 0.275, 'management': 0.016, 'technical': -0.364, 'civilization': -0.357}"
1905,[],[],{},{}
1914,[],[],{},{}
2009,"['perception', 'sectors', 'humanity', 'intelligence', 'security', 'leadership', 'discipline', 'agriculture', 'economics', 'constitution', 'transformation', 'unity', 'universal', 'stability', 'discourse', 'sport', 'liberal', 'politics', 'democratic', 'survival', 'reform', 'medicine']","['medicine', 'reform', 'survival', 'democratic', 'politics', 'liberal', 'sport', 'discourse', 'stability', 'universal', 'unity', 'transformation', 'constitution', 'economics', 'agriculture', 'discipline', 'leadership', 'security', 'intelligence', 'humanity', 'sectors', 'perception']","{'sport': (0.7355937957763672, 100), 'democratic': (0.7238913178443909, 112), 'constitution': (0.7125346660614014, 145), 'leadership': (0.7120853662490845, 152), 'reform': (0.6987253427505493, 161), 'transformation': (0.6983802914619446, 142), 'stability': (0.6971192359924316, 173), 'economics': (0.6927045583724976, 104), 'humanity': (0.6867902278900146, 109), 'security': (0.6860370635986328, 380), 'liberal': (0.6763468980789185, 107), 'medicine': (0.6729389429092407, 119), 'sectors': (0.6723091006278992, 109), 'politics': (0.6703989505767822, 419), 'perception': (0.6683506369590759, 158), 'discipline': (0.6642991900444031, 104), 'unity': (0.6628404855728149, 191), 'agriculture': (0.6624587178230286, 110), 'intelligence': (0.661180853843689, 105), 'survival': (0.6603454351425171, 137), 'discourse': (0.6592289209365845, 131), 'universal': (0.6578701138496399, 185)}","{'sport': -0.238, 'democratic': -0.53, 'constitution': 0.089, 'leadership': 0.333, 'reform': -0.689, 'transformation': 0.058, 'stability': -0.158, 'economics': 0.126, 'humanity': 0.572, 'security': 0.54, 'liberal': -0.358, 'medicine': -0.714, 'sectors': 0.635, 'politics': -0.368, 'perception': 0.794, 'discipline': 0.272, 'unity': 0.036, 'agriculture': 0.189, 'intelligence': 0.554, 'survival': -0.621, 'discourse': -0.22, 'universal': 0.031}"
1912,['colony'],['colony'],"{'colony': (0.8127394914627075, 132)}",{'colony': 0.302}
